rating,date,title,branch,neg,neu,pos
2,2021-05-30,Universal is a complete Disaster - stick with Disney!,Florida,1,0,0
1,2021-05-30,Food is hard to get.,Florida,1,0,0
2,2021-05-30,Disappointed,Florida,0,0,1
4,2021-05-29,My opinion,Florida,0,1,0
5,2021-05-28,The Bourne Stuntacular...MUST SEE,Florida,0,0,1
1,2021-05-28,This is not a vacation,Florida,0,1,0
2,2021-05-27,Expected More,Florida,0,1,0
2,2021-05-27,Disapointing.....,Florida,1,0,0
1,2021-05-27,Greed makes for a terrible guest experience,Florida,0,0,1
4,2021-05-26,Good first time visit with kids,Florida,0,0,1
1,2021-05-26,Same old Orlando experience.,Florida,0,1,0
5,2021-05-25,Family Vacation Fun,Florida,0,0,1
2,2021-05-25,"Crowded, unhelpful staff, and difficult to get food/water.",Florida,1,0,0
1,2021-05-24,Parking and Guest Services TERRIBLE!!!!!!!!!!,Florida,1,0,0
5,2021-05-24,Excellent Vacation,Florida,0,0,1
5,2021-05-22,Stay at one of 3 resorts that offer EXPRESS PASSES,Florida,0,0,1
5,2021-05-19,Despite the Circumstances,Florida,0,0,1
1,2021-05-19,AWFUL,Florida,1,0,0
4,2021-05-19,Over priced,Florida,0,0,1
1,2021-05-19,Don’t buy a package with one of their partner hotels!,Florida,0,0,1
2,2021-05-19,rides close often,Florida,0,0,1
2,2021-05-18,"Money Money money, it’s. Rich mNs world",Florida,0,0,1
5,2021-05-18,Universal Florida,Florida,0,0,1
2,2021-05-18,From bad to worse as time goes by.,Florida,1,0,0
5,2021-05-17,There's Disney...then THERES UNIVERSAL ORLANDO,Florida,0,0,1
5,2021-05-17,Consistently Magical,Florida,0,0,1
1,2021-05-16,After 9 movies how did Fast & Furious miss the mark,Florida,1,0,0
5,2021-05-16,Fantastic visit,Florida,0,0,1
5,2021-05-15,Harry Potter World was especially great,Florida,0,0,1
3,2021-05-13,Fun rides but poor customer service!,Florida,0,1,0
2,2021-05-13,Disney is so much better than Universal!,Florida,0,0,1
4,2021-05-12,Our first trip to Universal was outstanding!!,Florida,0,0,1
5,2021-05-11,Great Parks and Fair Value,Florida,0,0,1
2,2021-05-11,Overpriced,Florida,0,1,0
1,2021-05-10,Disappointing,Florida,0,0,1
1,2021-05-10,Zero compassion for children,Florida,0,0,1
2,2021-05-08,Family vacay,Florida,1,0,0
1,2021-05-08,Reality TV theme park style,Florida,1,0,0
5,2021-05-07,Loved it,Florida,0,0,1
3,2021-05-06,Ok...,Florida,0,0,1
1,2021-05-06,good time at City Walk and Portofino hotel,Florida,1,0,0
3,2021-05-06,Universal - too hot for masks,Florida,0,0,1
1,2021-05-06,Terrible. DANGEROUS.,Florida,0,1,0
3,2021-05-05,fon times long food cart lines,Florida,0,0,1
1,2021-05-04,Save the respiratory distress and money,Florida,1,0,0
1,2021-05-04,Vacations Packages are a scam!,Florida,0,0,1
4,2021-05-03,"Awesome experience, with a couple tips...",Florida,0,0,1
2,2021-05-01,Disappointed,Florida,1,0,0
5,2021-05-01,Good when no talking,Florida,0,0,1
2,2021-04-30,Not worth it,Florida,1,0,0
1,2021-04-29,A complete waste,Florida,1,0,0
5,2021-04-28,Awesome Guest Service help,Florida,0,0,1
1,2021-04-28,Not worth the stress or the money. Go to Disney instead.,Florida,0,1,0
1,2021-04-26,Fast and Furious Supercharged,Florida,0,1,0
5,2021-04-26,Nice to be able to travel again !!,Florida,0,0,1
1,2021-04-26,Website down no customer service 3 hours and counting,Florida,1,0,0
5,2021-04-26,Such a good getaway,Florida,0,0,1
1,2021-04-26,SAVE YOUR MONEY,Florida,0,1,0
5,2021-04-25,First Time Visit,Florida,0,0,1
1,2021-04-24,Universal Studios Orlando Rip Off,Florida,1,0,0
4,2021-04-24,Good but could use improvements,Florida,0,0,1
3,2021-04-24,"Long Lines and hurdles to get in, Long lines on Park rides (get express)",Florida,0,0,1
5,2021-04-24,Excellent Park! Family Fun!,Florida,0,0,1
1,2021-04-22,Don't Book This Trip - Go to Disney instead,Florida,0,1,0
5,2021-04-22,Spring Break,Florida,0,0,1
1,2021-04-22,Terrible experience,Florida,1,0,0
5,2021-04-20,Magical Memories,Florida,0,0,1
5,2021-04-18,Spring Break,Florida,0,0,1
1,2021-04-18,Horrible experience,Florida,0,1,0
1,2021-04-17,Universal corporate can’t be proud of this...,Florida,1,0,0
3,2021-04-17,Not that good,Florida,0,0,1
1,2021-04-17,Dirty and rude staff,Florida,1,0,0
2,2021-04-16,not a good experience,Florida,1,0,0
1,2021-04-15,Horrible - Buyer Beware - Wait Times Ridic!!!,Florida,0,0,1
4,2021-04-14,Great trip,Florida,0,0,1
2,2021-04-12,If you are wanting to ride the major attractions...read this.,Florida,0,0,1
1,2021-04-12,Horrid Customer service,Florida,0,1,0
4,2021-04-12,Fantastic!,Florida,0,0,1
3,2021-04-11,COVID Protocols Inconsistent,Florida,0,0,1
2,2021-04-11,Rude Manager,Florida,1,0,0
1,2021-04-10,"Filthy, over crowded and a joke.",Florida,0,0,1
1,2021-04-10,Awful,Florida,1,0,0
2,2021-04-10,Not going back,Florida,1,0,0
5,2021-04-09,My Experience With Universal.,Florida,0,0,1
3,2021-04-09,Good but will be our last time,Florida,1,0,0
5,2021-04-09,Hot but Enjoyable,Florida,0,0,1
4,2021-04-09,First time to universal studios,Florida,0,0,1
1,2021-04-08,Hold time Customer Service,Florida,1,0,0
1,2021-04-08,"Do your research, mostly unpleasant.",Florida,0,0,1
1,2021-04-08,Total waste of time and money.,Florida,1,0,0
2,2021-04-08,Very dissatisfied wouldn't recommend,Florida,0,1,0
1,2021-04-07,Save yourself the agony and go elsewhere,Florida,1,0,0
5,2021-04-07,Fun visit,Florida,0,0,1
1,2021-04-07,Don't waste your money,Florida,1,0,0
4,2021-04-06,A fun Spring Break,Florida,0,0,1
4,2021-04-06,"Good but, needs improvement",Florida,1,0,0
5,2021-04-06,Universal Studios review update!,Florida,0,0,1
5,2021-04-06,Amazing park,Florida,0,0,1
2,2021-04-05,Universal Waiting in Line All Day Studios,Florida,1,0,0
4,2021-04-05,Great park,Florida,0,0,1
1,2021-04-05,Should have read reviews,Florida,1,0,0
3,2021-04-05,"Fun, but perhaps not for everyone",Florida,0,0,1
1,2021-04-04,Again packed...,Florida,0,0,1
5,2021-04-04,So much fun to be had!!,Florida,0,0,1
5,2021-04-04,What an awesome playground!,Florida,0,0,1
3,2021-04-04,Universal virtual line fiasco,Florida,0,1,0
5,2021-04-03,One of our favorites,Florida,0,0,1
5,2021-04-03,Out of this world theming and top quality attractions!,Florida,0,0,1
1,2021-04-03,Don’t go to Universal Studios,Florida,1,0,0
4,2021-04-03,"Great Experience, recommend the express pass!",Florida,0,0,1
1,2021-04-03,Oh my,Florida,1,0,0
1,2021-04-02,Negative Wand experience,Florida,0,1,0
5,2021-04-02,Great rides and Universal Express is a must,Florida,0,0,1
4,2021-04-01,"Great Park, horrible wait times.",Florida,0,0,1
4,2021-04-01,Universal Resort Stay - Hotel and Park,Florida,0,0,1
5,2021-04-01,Awesome.. will go again!,Florida,0,0,1
1,2021-03-31,Not very good,Florida,1,0,0
1,2021-03-31,Worst Experience Ever. Huge Waste of Money!!!!,Florida,0,0,1
1,2021-03-31,Horrible Experience - Don't waste your money! Go to Bush Gardens instead.,Florida,1,0,0
5,2021-03-30,Get the express pass,Florida,0,0,1
1,2021-03-30,Please read before booking your reservation to Universal Studios Orlando,Florida,0,1,0
5,2021-03-30,Mardi Gras 2021,Florida,0,0,1
1,2021-03-29,Horrible Time,Florida,1,0,0
1,2021-03-29,Sucks horrible,Florida,0,1,0
1,2021-03-29,Horrible experience,Florida,1,0,0
1,2021-03-29,Horrible! 2 hour wait to get in!,Florida,1,0,0
3,2021-03-29,Just ok,Florida,0,1,0
5,2021-03-29,Hospitality - Moment of Truth,Florida,0,0,1
1,2021-03-28,"""Amusement"" Park?",Florida,0,0,1
5,2021-03-27,VIP tour,Florida,0,0,1
1,2021-03-26,Terrible experience,Florida,1,0,0
4,2021-03-26,"Fun park, just hard to get food",Florida,0,0,1
3,2021-03-25,Cool!,Florida,0,0,1
4,2021-03-24,We had a good time,Florida,0,0,1
2,2021-03-23,Express Passes Make Everyone Else Wait 2+ Hours,Florida,1,0,0
4,2021-03-23,Fun but be prepared to wait,Florida,0,0,1
4,2021-03-23,Great Time at Universal Studios!!!,Florida,0,0,1
1,2021-03-23,Worst Customer Experience of my Life,Florida,0,1,0
1,2021-03-22,Offended That Fast and The Furious is Allowed to Remain Open,Florida,1,0,0
1,2021-03-22,Horrible,Florida,1,0,0
1,2021-03-22,Great place to get COVID,Florida,0,1,0
1,2021-03-21,Virtual Pass Sucks!,Florida,1,0,0
5,2021-03-21,Covid/Spring Break Family Trip,Florida,0,0,1
4,2021-03-21,Great park!,Florida,0,0,1
4,2021-03-21,Great park but watch out for Fast and Furious,Florida,0,1,0
5,2021-03-20,So much fun!,Florida,0,1,0
1,2021-03-20,Overpriced For What's Available,Florida,0,0,1
5,2021-03-19,Great for teenagers and above,Florida,0,0,1
2,2021-03-19,Overcrowded money grab,Florida,1,0,0
1,2021-03-19,Oversold Overcrowded Disorganized,Florida,1,0,0
2,2021-03-18,Treated like cattle,Florida,1,0,0
1,2021-03-18,Still can’t figure out food,Florida,0,1,0
2,2021-03-18,"Long ride lines, no social distancing over Spring Break - Read for tips",Florida,0,0,1
1,2021-03-17,"DON'T purchase their vacation package, IMPOSSIBLE to cancel, even WITH travel protection!",Florida,1,0,0
1,2021-03-17,Waste of time and money,Florida,0,1,0
2,2021-03-17,Such a disappointing day!,Florida,1,0,0
1,2021-03-17,Waste of money,Florida,0,1,0
3,2021-03-16,One and done,Florida,0,0,1
1,2021-03-15,City walk overall experience,Florida,1,0,0
1,2021-03-15,TICKETS ARE WORTHLESS/scam to get your money,Florida,0,0,1
4,2021-03-14,Tips for newbies!,Florida,0,0,1
5,2021-03-13,Best in town,Florida,0,0,1
1,2021-03-11,Terrible,Florida,1,0,0
5,2021-03-10,Flawless fun,Florida,0,0,1
5,2021-03-09,Excellent,Florida,0,0,1
5,2021-03-09,Felt safe with the procedures,Florida,0,0,1
1,2021-03-09,waited 2 hours to talk to customer service,Florida,1,0,0
1,2021-03-08,Not good,Florida,0,1,0
5,2021-03-07,Always a Great Time,Florida,0,0,1
5,2021-03-03,Adorable place to spend whole day,Florida,0,0,1
5,2021-03-02,Always a great time!,Florida,0,0,1
4,2021-03-02,Family Fun in the sun,Florida,0,1,0
4,2021-03-01,It’s fun but it’s not the Mouse House,Florida,0,0,1
3,2021-03-01,Long lines during covid,Florida,0,1,0
5,2021-02-28,Universal Orlando Florida Nonprivate VIP Experience,Florida,0,0,1
5,2021-02-27,Fantastic Customer Service!,Florida,0,0,1
4,2021-02-23,Good times,Florida,0,0,1
1,2021-02-22,No regard for your safety,Florida,0,1,0
5,2021-02-21,Great experience,Florida,0,0,1
5,2021-02-21,Enjoyable experience,Florida,0,0,1
3,2021-02-19,Entrance is a mess,Florida,0,1,0
4,2021-02-19,"Good experience, park did a pretty good job with policing for COVID compliance",Florida,0,0,1
1,2021-02-18,Paid $1750 for 4 day park to park passes and got treated like a criminal!,Florida,0,1,0
5,2021-02-18,Decent park,Florida,0,0,1
2,2021-02-18,No very good,Florida,0,1,0
5,2021-02-17,Husband was pleasantly surprised,Florida,0,0,1
1,2021-02-17,Wish it was a better experience ...,Florida,0,0,1
1,2021-02-17,I Hate It,Florida,0,1,0
5,2021-02-16,The JASON BOURNE STUNTACULAR is the best,Florida,0,0,1
1,2021-02-16,Never Again Universal NEVER,Florida,1,0,0
1,2021-02-13,Never again,Florida,1,0,0
3,2021-02-11,Approved,Florida,1,0,0
5,2021-02-10,First Aid,Florida,0,0,1
3,2021-02-10,Recent Experience at Universal,Florida,0,0,1
5,2021-02-10,Perfect for a day,Florida,0,0,1
2,2021-02-08,"Go to Disney, don’t waste your money",Florida,1,0,0
1,2021-02-07,Bad customer service and bad policy.,Florida,0,1,0
1,2021-02-07,Season pass holders got ripped during pandemic,Florida,1,0,0
5,2021-02-06,Great time!!,Florida,0,0,1
3,2021-02-05,A good one time visit.,Florida,0,0,1
2,2021-02-03,Done that,Florida,0,0,1
5,2021-02-02,Family and I were there between Christmas and New Years... had a great time,Florida,0,0,1
5,2021-01-30,Thrilling,Florida,0,0,1
5,2021-01-30,Wonderful Experience!,Florida,0,0,1
